idx,dataset,example_id,prompt_id,source,subject,subtopic,question_number,prompt,question,choice_a,choice_b,choice_c,choice_d,answer,gold_passage,gold_idx,explain,explain_a,explain_b,explain_c,explain_d
11,mbe,mbe_0011,prompt_0011,Barbri - Drills and Released Questions - MDR (MBE - 2007),Constitutional Law,,17,,"®@® OO CONTRACTS 29. Contracts Question 1 Babe was a professional baseball player who was known both for his prowess at the plate and his perceived “heart of gold.” One day, Babe was visiting a sick boy named Jimmy in the hospital. Babe was touched by Jimmy’s will to live despite a very poor prognosis. In a moment of weakness, Babe told Jimmy that in consider- ation of Jimmy’s courage, he would do anything that Jimmy asked. Jimmy’s eyes momentarily gleamed as he asked Babe to “hit a homer for me in your next game.” Babe replied, “Sure kid.” As Babe was leaving Jimmy’s hospital room, Jimmy’s father, Joe, pulled Babe aside and told Babe, “It would mean a lot to Jimmy if you would hit a home run for him in your next game. The medicinal value of raising Jimmy’s spirits would be priceless.” Babe replied, “Hey man, we all have problems. I don’t work for the Make a Wish Foundation.” Undaunted, Joe repeated that it would really raise Jimmy’s spirits if Babe would hit a homer, and as incen- tive, Joe told Babe that he would pay Babe $5,000 if Babe did hit a home run in his next game. Babe replied, ““You’ve got a deal.” To raise his chances of collecting the $5,000 from Joe, Babe took extra batting practice before his next game, and the practice paid off because in his next game, Babe hit two home runs. During a post-game interview, Babe explained, “I did it for little Jimmy, who is in the hospital.” After showering, Babe went directly to Joe’s house and asked Joe for $5,000. Babe’s contract with his ball club does not forbid him from accepting money from fans for good performance. If Joe refuses to pay and Babe brings an action against Joe for damages, which of the following is correct under the modern trend in contract law?","$1,000, because the agreement by Dead- beat to pay Cheap $600 revived the origi- nal $1,000 obligation.","$600, because Deadbeat’s moral obligation to pay Cheap $1,000 became the consider- ation for Deadbeat’s agreement to pay Cheap $600.","Nothing, because the statute of limitations has run.","Nothing, because no additional consider- ation was provided to support Deadbeat’s agreement to pay Cheap $600. GO ON TO THE NEXT PAGE",,,,"FRAMEWORK: State action → Provision → Scrutiny → Survives? | CAMPER for 1st Amendment | SSR for Equal Protection: Strict (race), Intermediate (gender), Rational (economic).",Incorrect.,Incorrect.,Incorrect.,Incorrect.
12,mbe,mbe_0012,prompt_0012,Barbri - Drills and Released Questions - MDR (MBE - 2007),Contracts,,30,,"CONTRACTS Question 3 For a number of years, United Leasing has been in charge of leasing the luxury skyboxes at City Sports Stadium, home of the local profes- sional basketball team. During this time, it annually sent to chief executives of area busi- nesses personalized “invitations” to lease sky- boxes for the season. The invitations, which were always sent out several months before each season began, contained detailed price terms and language stating that the deadline for responding was 10 weeks before the start of the season and that all leases were subject to the approval of the management of United Leasing. Executives at Multimedia Marketing had always responded to their invitation immediately by registered mail because they found it very worthwhile to lease a skybox to entertain their clients. During the five years that they had responded affirmatively to the invitation, they never received any addi- tional communications from United Leasing regarding approval, but the tickets and an invoice would arrive about a week before the season began. Several months before the current season, Multimedia received and immediately re- sponded to its invitation. Two weeks before the season began, a stunning trade brought the league’s most popular star to the City basketball team, prompting a dramatic increase in the demand for tickets. A few days later, Multime- dia, which had already scheduled in a number of clients to attend games in its skybox, received a notice from United Leasing stating that manage- ment had not approved Multimedia’s lease of the skybox for this season. In a separate an- nouncement to all area businesses, United Leasing announced that all available skyboxes would be leased for three- or five-year terms, and that an auction of the leases would be conducted if the demand exceeded the supply. Multimedia decided that it was not financially feasible to commit itself to anything longer than a one-year lease. It sent a letter to United Leas- ing, Stating t","Yes, because it was not impossible for FGF to perform.","Yes, because FGF assumed the risk that making pate would become expensive.","No, because the expense of fixing the oven provides a good faith reason for stopping production.","No, because the cancellation provision made the contract illusory. GO ON TO THE NEXT PAGE eee =",,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
13,mbe,mbe_0013,prompt_0013,Barbri - Drills and Released Questions - MDR (MBE - 2007),Contracts,,6,,"Assume for purposes of this question only that after receiving the contract, Jenny hired Flusher to do the plumbing work on the building at a cost of $12,000. She now sues Plunger for damages. Jenny is entitled to recover:","$10,000.","$2,000, which represents the differ- ence between Plunger’s bid and the amount Jenny had to pay for plumbing work.","Nothing, because $12,000 was a reasonable amount to pay for the work performed.","Nothing, because Jenny did not accept Plunger’s bid before it was withdrawn.",,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
14,mbe,mbe_0014,prompt_0014,Barbri - Drills and Released Questions - MDR (MBE - 2007),Contracts,,7,,"Assume for purposes of this question only that Jenny used Ohmco’s $20,000 electrical bid to prepare her general bid, but, after Jenny was awarded the contract, she decided to hire subcontractor Wattco to perform the electrical work. Wattco had bid $21,500. Ohmco sues Jenny for damages. Will Ohmco prevail? (A <a","Betsy, because Stan was fully compensated for his dictionary and making Betsy pay would therefore result in unjust enrich- ment.","Betsy, because destruction of the dictionary avoids the contract and discharges her duty to pay.","Stan, because when he contracted with Betsy, the risk of loss passed to her.","Stan, because of the doctrine of equitable conversion. Questions 9-10 are based on the following fact situation: Popeye owned a large fleet of buses. He was fortunate enough to have won the contract to bus all the schoolchildren in a large midwestern city and most of its surrounding suburbs. He CONTRACTS 33. purchased a number of new vehicles to expand his fleet. Popeye had farmed out the mainte- nance of the buses to a number of different repair shops, but he now desired the consistent results",,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
15,mbe,mbe_0015,prompt_0015,Barbri - Drills and Released Questions - MDR (MBE - 2007),Contracts,,9,,"Assume for purposes of this question only that for six months Bluto dutifully placed all his ads through Olive’s agency and informed her of his agreement with Popeye. During that time, Olive turned down work from two prospective clients because of the time that she would have to devote to designing and disseminating ads from Bluto. Bluto then discovered that Popeye was having some of his buses repaired and maintained by other shops. Bluto immedi- ately ceased placing ads through Olive and employed another agency. Can Olive successfully bring suit against Bluto to enforce the agreement?","Yes, because she partially performed by placing ads for Bluto during the first six months of the agreement.","Yes, because she detrimentally relied on Bluto’s promise to place ads when she refused other clients.","No, because Olive provided no con- sideration for the agreement between Popeye and Bluto.","No, because Popeye’s exclusive use of Bluto’s repair shop was a condition for Bluto’s duty to purchase ads through Olive, and Popeye’s actions excused Bluto’s duty to Olive. GO ON TO THE NEXT PAGE",,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
16,mbe,mbe_0016,prompt_0016,Barbri - Drills and Released Questions - MDR (MBE - 2007),Contracts,,10,,"Assume for purposes of this question only that Popeye dutifully sent all his buses to Bluto for repair and maintenance. How- ever, six months into the agreement, Popeye divorced Olive. Although Bluto had been placing all his ads through Olive, Popeye told Bluto, “You don’t have to place ads with Olive anymore.” Bluto promptly began placing ads through an- other agency. Olive then learned of the agreement between Popeye and Bluto. Popeye continued to send all his buses to Bluto. Can Olive enforce the agreement in her favor?","There is no contract between WidgeCo and Distrucorp, because Distrucorp made a material alteration. There is a valid, enforceable contract between WidgeCo and Distrucorp, but it is limited to the terms of WidgeCo’s offer.","There is a valid, enforceable contract between WidgeCo and Distrucorp, and it contains the additional term because WidgeCo raised no objection.","(D ~ Distrucorp has sent a valid counteroffer to WidgeCo, which WidgeCo can accept or reject. GO ON TO THE NEXT PAGE","Nothing, because it failed to fully perform the contract. . CONTRACTS 35. Question 14 Via a circular, WidgeCo, a manufacturer of widgets, sent an offer to Distrucorp, a major wholesaler. WidgeCo offered a standard lot (quantity well-known in the widget trade) of widgets for $8,000. This was a good price, and the president of Distrucorp personally mailed back to WidgeCo Distrucorp’s standard printed acceptance form. However, the president wrote in large letters in his own hand on the form, “Our l",,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
17,mbe,mbe_0017,prompt_0017,Barbri - Drills and Released Questions - MDR (MBE - 2007),Contracts,,36,,"CONTRACTS Question 15 Tekmart, a leading computer supply retailer, contacted Megabyte, a manufacturer of blank diskettes, on October 25 to supplement the supply of diskettes at Tekmart’s area stores. In response, Megabyte offered to supply 50 cartons of boxed diskettes at $200 a carton, for a total price of $10,000, delivery one week after accep- tance, and sent a letter containing those contrac- tual terms to Tekmart on October 26. The president of Tekmart signed the letter on Octo- ber 27 without making any changes to it and sent it back to Megabyte by first class mail. The next day, having not heard from Tekmart, Megabyte’s sales manager contacted the presi- dent of Tekmart and informed him that, if Tekmart accepted by the end of the month, it would receive a 1% discount in the total price. When Tekmart’s president responded that he had already sent the acceptance, the sales man- ager assured him that the discount would still apply. On October 31, Tekmart received a circular from Dataco offering comparable diskettes for 5% less than Megabyte’s price. The president of Tekmart immediately faxed a rejection to Megabyte. Megabyte received the rejection immediately but took no action on it. The next day, November 1, Megabyte received the signed contract from Tekmart. What is the status of the agreement between the parties?","Yes, because Tommy relied on Dad’s promise and the doctrine of promissory estoppel applies.","Yes, because Tommy was an intended beneficiary.","No, because Dad’s promise was a gift unsupported by consideration.","No, because Dad did not promise to send the money with the expectation of inducing Tommy to buy an engagement ring for Gidget. GO ON TO THE NEXT PAGE",,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
18,mbe,mbe_0018,prompt_0018,Barbri - Drills and Released Questions - MDR (MBE - 2007),Contracts,,38,,"CONTRACTS Question 17 Ellen owns a high-style ladies’ fashion store in Beverly Hills. Calvin is the designer and manufacturer of a world-famous line of original gowns. On April 1, Ellen and Calvin signed a written agreement wherein Ellen was appointed the “sole and exclusive” retail distributor for Calvin’s clothes in Beverly Hills. The contract provided that Calvin was to have the absolute right to cease doing business with Ellen “at any time and for any reasons Calvin chooses.” On May 1, Ellen handed Calvin a written order for $50,000 worth of his original gowns, to be delivered to Ellen on September 1. Calvin did not sign an acknowledgment of Ellen’s order, but in her presence he set aside the origi- nals designated in her order by putting her name on them. To publicize her new line of merchandise, ElJen conducted a large advertising campaign announcing to the Beverly Hills public that she would have a wide selection of Calvin’s origi- nals on display on September 1. She also made substantial improvements to the store to display these clothes in lush and expensive settings. On August 15, Calvin wired Ellen, “Sorry, darling, I have to invoke my right to terminate our arrangement. Your competitor in Beverly Hills, Shannon, has made an offer for the clothes you ordered that I simply couldn’t pass up. I know you'll understand. Best wishes, Calvin.” Upon receipt of the message, Ellen filed suit against Calvin. Calvin defends on the ground that his April 1 agreement with Ellen is unen- forceable for lack of consideration because Ellen did not obligate herself under the contract in any way. How should the court rule on that issue?",Any want of consideration at the formation stage was cured by Ellen’s actual tender of a large order.,"The April agreement was, in effect, a “firm offer” between merchants and hence binding on both parties even though there was no consideration.",There was sufficient consideration in Ellen’s implied promise to exercise her best efforts to promote the sale of Calvin’s gowns.,"Calvin set aside the gowns in Ellen’s presence, and thereby apparently expressed his willingness to ship as per her order. STOP bororr BAR REVIEW",,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
19,mbe,mbe_0019,prompt_0019,Barbri - Drills and Released Questions - MDR (MBE - 2007),Contracts,,17,,"@©®OO CRIMINAL LAW 39. Criminal Law Question 1 Dorothy’s very best friend was Melissa, and Dorothy shared all of her secrets with her. Dorothy and her husband, Hank, often brought Melissa, a divorcee, along on vacations and dining engagements. One day, however, after being tipped off by a mutual friend, Dorothy went through Hank’s drawer and discovered steamy love letters to him from Melissa. The tone of the letters made it obvious that Hank and Melissa had been having an affair for at least three years. Dorothy became furious, but kept repeating to herself, “Don’t get mad, get even!” She purchased a handgun and waited for the right moment to use it. The moment occurred at a large outdoor barbecue celebrating Melissa’s birthday. At the barbecue, Dorothy gave the gun to Melissa’s 10-year-old nephew, Sammy. She told Sammy, “Why don’t you go up and point this gun at your Auntie Melissa. When you pull the trigger a sign will come out saying, ‘BANG! and Happy Birthday,’ just like in the circus.” Sammy took the gun, pointed it at Melissa, and pulled the trigger. However, Sammy’s aim was faulty, and when the gun discharged the bullet struck Hank, killing him. The police quickly linked Dorothy to the crime. Which of the following best describes the crime or crimes of which Dorothy can be prop- erly convicted?",Murder.,"Manslaughter, because Howard was still distraught over finding Nick in bed with Chastity.","Manslaughter, because his intoxication prevented Howard from having the requi- site intent for murder.","No homicide crime, because Nick was about to attack him with a knife. GO ON TO THE NEXT PAGE",,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
20,mbe,mbe_0020,prompt_0020,Barbri - Drills and Released Questions - MDR (MBE - 2007),Contracts,,40,,"CRIMINAL LAW Question 3 Larry was passing by a house under construc- tion when he noticed that the ladder being used by workers on the roof had copper braces supporting the rungs. After making sure that the workers on the roof could not see him, Larry used a pliers that he had in his pocket to remove all of the copper braces that he could reach from the ground. A short time later, Vernon climbed down the ladder and it collapsed. He fell to the ground and severely injured his back. Larry was apprehended a few hours later trying to sell the copper for scrap. A Statute in the jurisdiction makes it a felony for “maliciously causing serious physical injury to another.” Larry was charged with malicious injury under the statute and was also charged with larceny. After a jury trial in which the above facts were presented, he was convicted of both charges. If Larry appeals the conviction for the mali- cious injury charge on grounds of insufficient evidence, how should the court rule?",Andt left the cabin without doing anything.,Andt took nothing from the cabin.,The swim fins belonged to Andt.,"Gracehoper’s door was unlocked. Questions 6-7 are based on the following fact situation: Kuegler, who had a long list of petty crimes to his credit, cased the Jaymart Department Store for a week. He noticed that a display case containing very expensive watches was near one of the store’s exit doors. He planned to steal the watches by setting a diversionary fire in a trash basket, hoping that this would distract the store security personnel long enough for Kuegler to break the glass covering the",,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
21,mbe,mbe_0021,prompt_0021,Barbri - Drills and Released Questions - MDR (MBE - 2007),Contracts,,6,,"If Kuegler is tried for the crime of arson, the court should find him:","Not guilty, because Kuegler did not intend to burn the building.","Not guilty, because Kuegler’s act was sufficient only for attempted arson.","Guilty, because Kuegler’s conduct demonstrated the requisite state of mind for the crime.","Guilty, because Kuegler started the fire during the act of perpetrating another felony.",,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
22,mbe,mbe_0022,prompt_0022,Barbri - Drills and Released Questions - MDR (MBE - 2007),Contracts,,7,,"Which of the following best describes the crimes, if any, of which Kuegler could be properly convicted?",Larceny.,Burglary.,Larceny and burglary.,Larceny and conspiracy to commit burglary. GO ON TO THE NEXT PAGE,,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
23,mbe,mbe_0023,prompt_0023,Barbri - Drills and Released Questions - MDR (MBE - 2007),Criminal Law,,44,,"CRIMINAL LAW Question 11 Bulky was six foot four and weighed 280 pounds. One afternoon Bulky was wandering rather aimlessly and became lost in an unfamil- iar part of the city. He reached into his pocket and discovered he only had 35 cents. He wanted to take a bus back to the city center, but bus fare was $1 per ride. Bulky was rather scruffily dressed and he had not had a haircut in several months. He approached Juan, a slightly built man who was standing alone at the bus stop. In a gruff voice, Bulky asked Juan, “Do you have any money?” When Juan replied, “Yes,” Bulky said, “Give me five dollars!” Juan reached into his pocket and handed Bulky a five-dollar bill. Juan walked away from the bus and flagged down a passing patrol car. Juan told the police, “T’ve been robbed,” and pointed out Bulky, who was still standing at the bus stop. Bulky was arrested and charged with robbery. At Bulky’s trial, Bulky took the stand in his own defense. Bulky testified, “I wasn’t trying to rob anybody. I was just trying to beg some money to get myself back home.” If the jury believes Bulky’s testimony, Bulky should be found:",Gordon’s statement was not interrogatory.,Itis discretionary whether to give juveniles Miranda warnings.,Denise has not yet been arrested and formally charged with any crime.,"Gordon was not a government agent. Questions 14-15 are based on the following fact situation: Soar Airlines Flight 226 was a flight from Miami to Washington, D.C., with an hour stopover in Orlando. At the Orlando Airport, Mike and Nick, holding tickets to Washington, D.C., disembarked from the plane. Each carried a rather large piece of carry-on baggage. Mike went into a telephone booth and placed a call, while Nick stood with his back to the booth, looking around in all available directions. Sa",,,,"Elements: Actus reus + Mens rea + Causation + Concurrence | BARRK: Burglary, Arson, Robbery, Rape, Kidnapping | Mens rea: Purpose > Knowledge > Recklessness > Negligence.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
24,mbe,mbe_0024,prompt_0024,Barbri - Drills and Released Questions - MDR (MBE - 2007),Criminal Law,,14,,"At Nick’s trial, the prosecution seeks to introduce the cocaine into evidence against Nick. Nick’s attorney objects. The court should rule the cocaine:","Admissible, because of the emergency conditions arising from the growing menace of drugs to the public.","Admissible, because, in consenting to the search of his luggage, Nick im- pliedly consented to a body search.","Inadmissible, because Sam had nei- ther probable cause nor reasonable suspicion to search Nick.","Inadmissible, because Sam had no right to search the luggage.",,,,"Elements: Actus reus + Mens rea + Causation + Concurrence | BARRK: Burglary, Arson, Robbery, Rape, Kidnapping | Mens rea: Purpose > Knowledge > Recklessness > Negligence.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
25,mbe,mbe_0025,prompt_0025,Barbri - Drills and Released Questions - MDR (MBE - 2007),Criminal Law,,15,,"Assume for purposes of this question only that Nick pleaded guilty to possession of cocaine. At Mike’s preliminary hearing it has been stipulated that Mike owns the cocaine, but Mike’s attorney brings a motion at the hearing to suppress the introduction of the cocaine at trial. How should the court rule on the motion?","In favor, because Mike was not in possession of the cocaine.","In favor, because Mike and Nick had a reasonable expectation of privacy when Sam elected to search them.","Against, because Mike has already stipulated that he owns the cocaine.","Against, because the search of Nick did not violate Mike’s reasonable expectation of privacy. GO ON TO THE NEXT PAGE",,,,"Elements: Actus reus + Mens rea + Causation + Concurrence | BARRK: Burglary, Arson, Robbery, Rape, Kidnapping | Mens rea: Purpose > Knowledge > Recklessness > Negligence.",Incorrect.,Incorrect.,Incorrect.,Incorrect.
26,mbe,mbe_0026,prompt_0026,Barbri - Drills and Released Questions - MDR (MBE - 2007),Criminal Law,,46,,"CRIMINAL LAW Question 16 Simpson and two others were indicted on felony charges for electronic theft of bank accounts. Simpson protested that he was inno- cent and wanted to prove it at trial, but agreed to discuss a plea bargain with the district attorney. The district attorney indicated that he would also charge Simpson with additional theft by computer offenses if Simpson insisted on going to trial, but that if he pleaded guilty to the one charge and agreed to testify against his co- defendants at their trial, the prosecution would recommend probation only. Because of the risk of jail time if he was convicted of any of the additional offenses, Simpson agreed. When Simpson appeared in court, the judge informed him of the nature of the charge and the potential punishment, and that Simpson was waiving his right to trial by pleading guilty. She asked if his plea was voluntary and he replied that it was the best deal that he could get, but that he was really innocent of the crime charged. The judge nevertheless accepted the plea, reserving sentencing until Simpson testified against his co-defendants. Just before trial of Simpson’s co-defendants, they pleaded guilty and provided additional information of Simpson’s central role in the crime and in additional computer theft offenses. At Simpson’s sentencing, the prosecution introduced the testimony of Simpson’s co- defendants and asked the judge to impose a jail term. The judge sentenced Simpson to five years in prison for the crime to which he pleaded guilty. Simpson appeals his sentence, raising the following arguments: I. The prosecution threatened to bring addi- tional charges when Simpson indicated that he was going to exercise his right to go to trial. Il. The judge accepted Simpson’s guilty plea despite his claim of innocence. Ill. The prosecution did not adhere to the plea bargain after Simpson’s co-defendants pleaded guilty. Which of the above arguments provide a valid basis for vacating Simpson’s guilty plea an",The city of Briggs and the state of Riverfront are separate sovereigns.,The state charge requires the proving of a fact not required by the municipal charge.,Chaven’s trial in municipal court had not yet reached the stage where jeopardy attaches.,The dismissal of the case in municipal court was based on a technicality that did not go to the merits of the case. STOP ag yen yay ororr BAR REVIEW 2 ©@®@OO 3 ©®OO,D,,,"Elements: Actus reus + Mens rea + Causation + Concurrence | BARRK: Burglary, Arson, Robbery, Rape, Kidnapping | Mens rea: Purpose > Knowledge > Recklessness > Negligence.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
